Timestamp,Identifiant (fourni par vos délégués),Filière d'origine,Commentaires,Le volet X de l'enseignement vous a paru [Topologie],Le volet X de l'enseignement vous a paru [Calcul différentiel],Le volet X de l'enseignement vous a paru [Calcul intégral],Le volet X de l'enseignement vous a paru [Probabilités],Commentaires,Le volet X de l'enseignement vous a semblé utile / pertinent / intéressant [Topologie],Le volet X de l'enseignement vous a semblé utile / pertinent / intéressant [Calcul différentiel],Le volet X de l'enseignement vous a semblé utile / pertinent / intéressant [Calcul intégral],Le volet X de l'enseignement vous a semblé utile / pertinent / intéressant [Probabilités],Commentaires,La cohérence d'ensemble (l'intégration entre les différents volets) vous a semblé satisfaisante [Votre réponse],Commentaires,Vous avez assisté aux cours magistraux [Fréquence],Commentaires,"En général, vous avez apprécié l'exposé ? [Topologie]","En général, vous avez apprécié l'exposé ? [Calcul différentiel]","En général, vous avez apprécié l'exposé ? [Calcul intégral]","En général, vous avez apprécié l'exposé ? [Probabilités]",Commentaires,Les cours magistraux ont contribué efficacement à votre apprentissage [Topologie],Les cours magistraux ont contribué efficacement à votre apprentissage [Calcul différential],Les cours magistraux ont contribué efficacement à votre apprentissage [Calcul intégral],Les cours magistraux ont contribué efficacement à votre apprentissage [Probabilités],Commentaires,Vous êtes satisfait des travaux dirigés [Votre réponse],Commentaires,Vous avez participé aux tutorats [Pour poser des questions ciblées ],Vous avez participé aux tutorats [Comme un cadre d'études (autonome)],Vous avez participé aux tutorats [Pour obtenir du soutien (encadrement renforcé)],Vous avez participé aux tutorats [Pour aller plus loin (hors-programme)],Vous avez participé aux tutorats [Pour faciliter vos révisions à l'approche de l'examen ],Vous avez participé aux tutorats [Autre usage ?],Commentaires,Vous êtes satisfait des tutorats actuels [Votre réponse],Commentaires,Vous préférez des groupes de tutorats aux objectifs plus précis  [Votre réponse],Commentaires,Le projet numérique vous a semblé utile / pertinent / intéressant  [Votre réponse],Les éléments numériques du cours vous semblent utiles / pertinents / intéressants. [Votre réponse],Commentaires,"L'existence d'un volet ""outil pour les mathématiques"" en informatique est positif. [Votre réponse]",Commentaires,Les modalités de l'évaluation du projet numérique sont appropriées [Votre réponse],Commentaires,"Le sujet de l'examen écrit est cohérent avec les cours, TDs et tutorats [Votre réponse]",Commentaires,Vous identifiez clairement les compétences et savoirs que l'examen écrit et le projet numérique permettent de tester [Votre réponse],Commentaires,"Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Pauline Bernard]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Thomas Romary]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Sébastien Boisgérault]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Emilie Chautru]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Delphine Bresch-Pietri]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Samy Blusseau]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Silviu Niculescu]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Jean-Emmanuel Deschaud]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Chloé-Agathe Azencott]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Martin Brossard]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Matthieu Vigne]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Slawomir Pietrasz]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Nicolas Desassis]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Dilshad Suroop]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Luc Rongieras]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Thierry Parmentelat]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Cyril Joly]","Toutes modalités confondues, êtes-vous satisfait de l'enseignement dispensé par [Obi-Wan Kenobi]",Commentaires,"La succession de plusieurs intervenants (amphi, TD, projet, etc.) s'est déroulée de façon satisfaisante [Votre réponse]",Commentaires,Les supports de cours vous ont donné satisfaction [Votre réponse],Commentaires,Vous avez utilisé le site web de l'enseignement  [Pour récupérer les fichiers PDF des cours],"Vous avez utilisé le site web de l'enseignement  [Pour des informations complémentaires (errata, documents en préparation, calendrier, ""etc.)]",Commentaires,Vous avez utilisé le forum discourse pour [Les compléments de cours et/ou les mini-exercices],"Vous avez utilisé le forum discourse pour [Vous tenir au courant de l'organisation (tutorats, rendus projets, etc.)]",Vous avez utilisé le forum discourse pour [Poser des questions],Commentaires,Temps total consacré à l'étude du cours (amphi inclus) [Votre réponse],Commentaires,Temps total consacré aux exercices (TDs inclus) [Votre réponse],Commentaires,Temps total consacré au projet numérique [Votre réponse],Commentaires,Examen écrit et révisions [Votre réponse],Commentaires,Commentaires (global),"Globalement, cet enseignement vous a paru [Votre réponse]",Commentaires
2019/11/10 2:08:18 PM GMT+1,72,MP/MP* : classe préparatoire Mathématiques-Physique,,Plutôt facile,Plutôt difficile,Plutôt difficile,Plutôt difficile,,Plutôt oui,Plutôt non,Plutôt oui,Plutôt oui,,Plutôt oui,,Régulièrement,,Plutôt oui,Plutôt non,Plutôt non,"Non, pas du tout",,Plutôt oui,Plutôt non,Plutôt oui,Pas du tout,,"Oui, tout à fait",,Jamais,Parfois,Parfois,Jamais,Jamais,,,Plutôt oui,,Plutôt oui,,Pas du tout,Plutôt non,,Plutôt non,,Plutôt non,,Plutôt non,,"Non, pas du tout",,,Pas du tout,Plutôt oui,,,,,,,,,,,,,,,,,Plutôt oui,,Plutôt oui,,Non,Non,,Jamais,Jamais,Jamais,,24 h ou plus,,environ 18 h,,12 h ou plus,,environ 12 h,,,Peu satisfaisant,
2019/11/10 2:13:48 PM GMT+1,71,MP/MP* : classe préparatoire Mathématiques-Physique,,Plutôt facile,Plutôt difficile,Plutôt facile,Plutôt difficile,Pas assez de temps pour maîtriser réellement le 2eme chapitre de proba,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,,"Oui, tout à fait",,Assez souvent,Cours parfois trop lents qui laissent bcp de choses non abordées dans les polys,Plutôt oui,Plutôt non,Plutôt oui,Plutôt oui,,Plutôt non,Plutôt non,Plutôt non,Plutôt non,Comme dit avant bcp de choses ne sont pas abordées en amphi. Celles que l on a abordées en topo et calcul diff étaient au programme de MP. J ai travaillé personnellement ce qui ne l était pas,Plutôt oui,,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Je n y ai pas participé ,,,,Proposer des tutorats ciblés sur un thème mais aussi un sujet de ce thème  (type travail de recherche) pourrait être intéressant pour ceux qui aiment chercher et veulent aller plus loin,Plutôt non,Plutôt non,L aspect numérique ne me plait pas mais il s agit d un goût personnel,Plutôt non,Avoir les slides a disposition sur nbhostings est intéressant mais les cours de presentadu primer/numpy/panda étaient tout à fait inutiles: on perd vite toute concentration et on s ennuie car c est un listing de fonctions,Plutôt oui,,"Oui, tout à fait.",,Plutôt oui,,,,,,,,,,,,,,,,,,,,Les professeurs tentent globalement de repondre au mieux à nos questions dans la matière qui les concernent. Ils vérifient en td que l on a bien compris et n hésitent pas à reformuler,Plutôt oui,,Plutôt oui,Les démos les plus intéressantes sont parfois manquantes (il y a à la place la référence d un ouvrage mais on n a pas vraiment le temps de chercher donc c est dommage),Non,Non,,Jamais,Jamais,Jamais,,environ 18 h,,environ 24 h,,environ 6h,,environ 9 h,,"Maitriser l intégralité des polys et leur subtilité nécessité bcp de temps, ce que l on ne dispose pas surtout pendant la période d intégration. Si on ajoute à cela le projet numérique et le primer il faut faire des choix. Peut être serait il mieux de faire moins de chapitres et de consacrer plusieurs amphis par chapitre",Plutôt satisfaisant,
2019/11/10 3:28:22 PM GMT+1,26,MP/MP* : classe préparatoire Mathématiques-Physique,,Plutôt difficile,Plutôt difficile,Plutôt difficile,Plutôt facile,,Plutôt non,Plutôt non,Plutôt non,Pas du tout,,Plutôt non,,Assez souvent,,"Non, pas du tout",Plutôt non,Plutôt non,"Non, pas du tout",,Plutôt non,Plutôt oui,Plutôt oui,Pas du tout,,,,Jamais,Jamais,Jamais,Jamais,,Jamais,,,,,,Plutôt oui,Plutôt non,,Plutôt non,,"Oui, tout à fait",,Plutôt oui,,Plutôt oui,,,,Plutôt non,,,,Tout à fait,,,,,,,,,,,Tout à fait,,Plutôt non,,Plutôt oui,,Oui,Non,,Jamais,Parfois,Jamais,,environ 6 h,,environ 12 h,,environ 3 h,,environ 6 h,,,Peu satisfaisant,
2019/11/10 6:02:04 PM GMT+1,103,PC/PC* : classe préparatoire Physique-Chimie,,Plutôt difficile,Trop difficile,Plutôt difficile,Plutôt difficile,,Plutôt non,Plutôt oui,Plutôt oui,Plutôt oui,,Plutôt oui,,Régulièrement,,Plutôt non,Plutôt non,Plutôt non,Plutôt non,"Les polycopiés sont un peu trop lus, pas assez expliqué, souvent sans suivre la pagination du poly",Plutôt non,Plutôt non,Plutôt non,Plutôt non,,Plutôt oui,C'est ce qui m'a le plus aidé,Parfois,Parfois,Parfois,Jamais,Parfois,,,Plutôt oui,,Plutôt oui,,Plutôt oui,Plutôt oui,,Plutôt oui,,Plutôt non,Le coefficient est très petit par rapport au temps passé sur le projet.,Plutôt oui,,Plutôt oui,,,,Plutôt non,,,Plutôt oui,,,,,,Tout à fait,,,,,,Tout à fait,"Pour les amphis avec Mr Boisgérault j'ai du mal à suivre et à apprécier le contenu du cours qui est parfois confus. Pour les amphis de probabilité avec le professeur dont le nom ne me revient pas, il s'agissait juste d'une lecture (assez lente) du poly de proba (quelque chose que j'aurai pu faire chez moi)",Plutôt oui,,Plutôt oui,Des fiches récapitulatives seraient toujours les bienvenues ! (comme l'an dernier),Oui,Oui,,Jamais,Souvent,Jamais,,environ 12 h,,environ 18 h,,12 h ou plus,D'où la nécessité de repenser le coef ou mieux nous orienter pour ne pas perdre autant de temps.,environ 12 h,,"Même si le projet est très intéressant, le repenser en volume horaire ou coefficient.",Plutôt satisfaisant,"L'enseignement des mathématiques sous leur forme formelle me parait peu satisfaisant, le projet a permis d'augmenter mon intérêt pour la matière."
2019/11/10 8:53:35 PM GMT+1,111,PSI/PSI* : classe préparatoire Physique-Sciences de l'Ingénieur,,Trop difficile,Trop difficile,Plutôt facile,Plutôt facile,"J'ai trouvé le saut entre la prépa et la première année des Mines assez difficile (notamment pour les chapitres topologies, calcul différentiel). Pour les élèves issus de la filière MP, ils arrivaient à suivre mais j'ai trouvé ça très éloigné du programme que j'avais en PSI. D'ailleurs certaines notions sont évoquées aux Mines en les prenant pour acquises ce qui n'est pas le cas pour tout le monde",Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,,Plutôt non,J'ai trouvé ça étonnant de commencer la proba alors que nous n'avions pas encore fini le calcul diff et le calcul intégral,Régulièrement,,Plutôt non,"Non, pas du tout",Plutôt non,Plutôt non,Je trouve les cours très difficile à suivre si on ne sait pas de quoi le professeur parle (pour la topologie ça allait car une partie du cours avait été faite en prépa) mais pour le calcul intégral je trouvais ça très difficile de comprendre l'exposé présenté.,Plutôt non,Pas du tout,Plutôt non,Pas du tout,"Cela m'a demandée pas mal d'heures de reprises du cours, des fiches pour comprendre le cours. Pas mal de travail personnel ",Plutôt oui,"J'apprécie les intervenants que j'ai, mais je ne suis pas à l'aise en TD. Je n'arrive pas à faire les exercices par moi-même mais j'arrive à comprendre la correction (du moins quand l'intervenant n'utilise pas des notions que je n'ai jamais vu, notamment les morphismes de groupe qui sont à priori supposés connus, ce qui n'est pas le cas en pratique)",,Parfois,,,Parfois,,,Plutôt oui,,"Oui, tout à fait",Je pense que cela peut éviter pas mal de frustration de la part des élèves qui arrivent très bien les exercices et veulent aller vite et aussi de la part des élèves qui comme moi ont plus de mal à comprendre les notions jamais vues,Plutôt non,Plutôt oui,"Le sujet en lui même était intéressant, le rendu sous forme de notebook aussi mais la charge de travail que cela a demandé était compliquée à gérer, sachant que simultanément on avait deux autres projets informatiques à gérer. Cela nous a demandé beaucoup d'heures juste pour débugger les programmes et cela ne semblait pas être des heures très bien investies.",Plutôt non,"En cours, les intervenants nous passent les slides à la suite et il est très compliqué de suivre et d'imaginer une application aux modules/commandes qu'on nous projettent au tableau. Il y avait beaucoup beaucoup de slides",Plutôt oui,,Plutôt oui,,Plutôt non,,,,Plutôt oui,,,,,,,,,,,Plutôt oui,Plutôt oui,Plutôt non,,,,Plutôt oui,,Plutôt oui,,,Oui,,Jamais,Jamais,Jamais,,environ 18 h,"J'ai assisté à tous les amphis  : donc 12h minimum de travail, auxquelles j'ajoute le travail personnel fourni à côté (les fiches, compréhension du cours)",environ 18 h,,environ 9 h,Entre 9 et 12h,environ 12 h,,"J'ai eu des difficultés à trouver le temps nécessaire pour réviser, le travail numérique a demandé beaucoup de temps",Plutôt satisfaisant,
2019/11/11 2:41:26 AM GMT+1,54,PSI/PSI* : classe préparatoire Physique-Sciences de l'Ingénieur,,Plutôt difficile,Plutôt difficile,Plutôt difficile,Plutôt difficile,,Plutôt oui,Plutôt oui,Plutôt non,Plutôt oui,,Plutôt oui,,Régulièrement,,Plutôt non,Plutôt non,Plutôt non,Plutôt non,,Plutôt non,Plutôt non,Plutôt non,Plutôt non,,Plutôt oui,,Souvent,Souvent,Souvent,Jamais,Jamais,Jamais,,Plutôt oui,,Plutôt oui,,,Plutôt non,,Plutôt oui,,Plutôt non,,"Oui, tout à fait.",,Plutôt oui,,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,,Plutôt oui,Plutôt oui,Plutôt oui,,Plutôt oui,Plutôt oui,Plutôt oui,,,,,Plutôt oui,,Plutôt oui,,Non,Non,,Jamais,Parfois,Parfois,,environ 12 h,,environ 18 h,,environ 9 h,,3h,,,Plutôt satisfaisant,
2019/11/11 9:43:08 AM GMT+1,70,MP/MP* : classe préparatoire Mathématiques-Physique,,Plutôt facile,Plutôt difficile,Plutôt difficile,Plutôt facile,,Pas du tout,Plutôt oui,Tout à fait,Plutôt non,,Plutôt oui,,Assez souvent,,Plutôt non,Plutôt oui,"Oui, beaucoup",Plutôt non,,Pas du tout,Plutôt oui,Plutôt oui,Plutôt non,,Plutôt oui,,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,,,,Plutôt oui,,Plutôt non,Plutôt oui,,Plutôt oui,,Plutôt non,,"Oui, tout à fait.",,Plutôt oui,,,Plutôt non,Plutôt oui,,,,,,,,Plutôt non,Tout à fait,,,,,,,,"Oui, tout à fait",,"Oui, tout à fait",,Oui,Non,,Jamais,Souvent,Jamais,,environ 6 h,,environ 12 h,,environ 6h,,3h,,,Plutôt satisfaisant,
2019/11/11 10:36:25 AM GMT+1,14,MP/MP* : classe préparatoire Mathématiques-Physique,,Plutôt facile,Plutôt difficile,Plutôt difficile,Plutôt facile,"Le cours de proba m'a paru bizarre notamment concernant les variables aléatoires car pour montrer que X<Y et Y L1 => X L1 on utilise l'intégrale de Lebesgue, que nous n'avons pas vu en cours...",Plutôt oui,Plutôt oui,Plutôt non,Plutôt oui,,Plutôt oui,"A part les probas qui utilisent une autre intégrale que celle qu'on a vu, les cours se répondent bien entre eux.",Assez souvent,,Plutôt oui,Plutôt oui,Plutôt non,Plutôt non,"Les cours sont très denses et souvent on ne peut parcourir que la moitié pendant les cours magistraux, ce qui est dommage car il faut tout reprendre tout seul après...",Plutôt oui,Plutôt oui,Plutôt non,Plutôt non,,Plutôt oui,,Souvent,Jamais,Jamais,Jamais,Parfois,,,Plutôt oui,,"Oui, tout à fait",On peut plus efficacement travailler un sujet qui nous pose problème et rattraper un éventuel retard sur un chapitre lorsque le tutorat est consacré à des sujets précis.,Plutôt non,Plutôt oui,"Le projet numérique nous a pris beaucoup de temps pour un résultat qui n'était pas forcément celui escompté, pour le coup je trouve qu'il n'était pas assez encadré malgré une séance de tutorat une semaine avant de rendre le projet, qui a désespéré tous ceux qui avaient passé du temps avant et qui n'avaient pas compris l'objectif du projet.","Oui, tout à fait",,Plutôt oui,,Plutôt oui,,Plutôt oui,,,,Plutôt oui,,,,,,,,,Plutôt non,Plutôt oui,,,Tout à fait,,,"M.Pietrasz est très organisé dans la méthodologie et les acquis à maitriser mais il a découvert en même temps que nous l'intégrale de HK et ne savait pas répondre à nos questions... De plus, lors du premier TD de calcul intégral, nous avons perdu 55min à nous présenter (passions dans la vie,...) et je n'en vois toujours pas l'intérêt car nous avons du prendre les TD des autres groupes pour rattraper le travail qui n'a pas été fait...",Plutôt oui,,"Oui, tout à fait","Très bien écrits pour travailler le cours, et très utiles pour compléter les amphis.",Non,Non,,Jamais,Souvent,Parfois,Les réponses sont très rapides et les enseignants à l'écoute.,24 h ou plus,"J'ai fait quasiment tous les amphis et j'ai travaillé de mon côté le cours, ce qui prend beaucoup de temps, à la fois pour voir ce que l'on a pas eu le temps de faire en cours et ensuite pour revoir tout le cours.",environ 12 h,,12 h ou plus,,environ 12 h,,"Le temps consacré à l'enseignement est certes réaliste, le projet numérique est pour moi quelque chose à revoir car il m'a pris autant de temps que les cours... J'ai trouvé difficile de trouver le temps pour bien travailler le cours à cause de toutes les échéances qui sont tombées la même semaine (3 projets d'infos à rendre dans la même semaine, un compte rendu QSE dans le même temps et les partielles juste après)....",Plutôt satisfaisant,
2019/11/11 10:40:58 AM GMT+1,112,,,Plutôt difficile,Plutôt difficile,Plutôt difficile,Trop facile,,Plutôt oui,Tout à fait,Plutôt non,Plutôt oui,,Plutôt oui,,Régulièrement,,Plutôt non,Plutôt non,Plutôt non,Plutôt non,"Le programme/poly de chaque séance étant conséquent, on n'aborde pas de preuves et j'ai l'impression que l'on survole les sujets traités.",Plutôt non,Plutôt non,Plutôt non,Plutôt non,,"Non, pas du tout",,Jamais,,,,,,,,,"Oui, tout à fait","Je pense que mettre en place des groupes de niveau permettrait à tous de trouver leur compte! Dans les TD actuels, certains élèves trouvent que ça va trop vite, alors que d'autres ne voient que les exercices les plus simples être corrigés sans que des questions plus complexes soient abordées.",Tout à fait,Plutôt non,,Plutôt non,,Plutôt non,,Plutôt oui,Le sujet était très long mais tout à fait cohérent avec les cours.,Plutôt oui,,,,Plutôt oui,,,,Tout à fait,,,,,Pas du tout,,,Tout à fait,Tout à fait,,,"J'ai apprécié les cours/TD de tous les enseignants à l'exception des TD de Calcul Intégral. Nous n'avons pas traité un seul exercice sur les 3 séances et on perd beaucoup de temps (météo, présentation des élèves...)","Oui, tout à fait",,"Oui, tout à fait",,Non,Oui,,Parfois,Jamais,Jamais,,24 h ou plus,,environ 24 h,,environ 9 h,,15 h ou plus,,"Les contenus du cours sont très intéressants et variés, mais il restent très généraux. On ne va pas vraiment jusqu'au bout de la thématique traitée (mais cela viendra peut-être dans les prochains volets!) ce qui rend difficile de bien s'approprier les notions. ",Plutôt satisfaisant,
2019/11/11 2:20:02 PM GMT+1,124,PC/PC* : classe préparatoire Physique-Chimie,,Plutôt difficile,Trop difficile,Plutôt facile,Plutôt facile,"Les cours étaient globalement trop consistants par rapport au temps passé en amphi et au temps passé en TD. C'est surtout le manque d'exercices d'application du cours et pour s'entraîner qui a été difficile à gérer pour moi. Ainsi, en ayant bien vu le cours et fait des fiches je n'arrivais en général pas à faire les exercices du poly sans regarder la correction. Il m'aurait fallu plus d'exercices pour réussir à acquérir de l'autonomie et de la pratique (ce qui m'a vraiment manqué à l'examen, notamment pour la partie sur le calcul différentiel + topologie).",Pas du tout,Plutôt oui,Plutôt non,Tout à fait,"J'ai répondu par rapport à ce qui me semble pertinent pour le cursus généraliste. Il m'a manqué peut-être des exercices d'applications concrètes des théorèmes du cours pour mieux comprendre son utilité parfois, des contextualisations qui augmenteraient mon intérêt (j'aime bien les mathématiques mais sans plus quand cela commence à devenir complexe). Quant à la topologie, elle me paraît nécessaire pour aborder les autres chapitres, mais j'ai manqué de voir comment certains exercices mêlant topologie et calcul différentiel pourraient nous servir plus tard.",Plutôt oui,,Régulièrement,"J'aurais sûrement été plus efficaces à voir le cours chez moi en profondeur une fois et à faire en même temps de petits exercices d'application directe du cours pour être plus à mon rythme et développer progressivement mon autonomie par rapport aux exercices ""types"" pour aller vers des énoncés plus difficiles après.",Plutôt non,Plutôt non,Plutôt oui,"Oui, beaucoup","Ces cours m'ont aidé à hierachiser les résultats de cours et à mieux comprendre l'intérêt du cours mais sinon je n'ai pas trouvé que ces cours magistraux m'aient beaucoup aidé à comprendre vraiment le cours. Parfois cela allait trop rapidement, et parfois j'ai trouvé que l'exposé n'était pas assez efficace et structuré. J'aurais eu besoin de plus de structure, de petits exercices intermédiaires d'application très rapides (mais chronophages en amphi donc je ne suis pas sûre que ce soit une bonne idée à faire en amphi, mais au moins les avoir pour retravailler directement après chez soi).",Plutôt non,Pas du tout,Plutôt oui,Plutôt oui,Cf plus haut.,Plutôt non,"Cela va trop vite pour moi et les exercices traités sont tout de suite trop difficiles. Il me faudrait des applications simples de cours, ou un détail des méthodes clair avant de passer aux exercices abordés en TD. Je n'arrive pas à trouver moi-même les réponses et aie beaucoup de mal à comprendre les corrections sinon.
Par contre j'aime bien la méthode interactive en TD, et plus de travail personnel en soutien.",Parfois,Parfois,Souvent,Jamais,Tout le temps,,J'ai beaucoup apprécié ces tutorats dans lesquels je n'étais pas perdue et où je me sentai donc plus à l'aise.,Plutôt oui,,"Oui, tout à fait",,Plutôt oui,"Oui, tout à fait",,Plutôt oui,"L'existence de ce volet est super. Après je pense que nous avons passé trop de temps sur la partie cours avec le détails des fonctions qu'on pouvait utiliser (elles étaient trop nombreuses pour les retenir). Une vision plus générale et structurée aurait pris moins de temps, aurait peut-être été plus claire car moins précipitée et nous aurait apporté la même chose je pense (il faut de toutes façons retourner dans les bibliothèques de fonctions quand on cherche quelque chose de précis qu'on n'utilise pas fréquemment).",Plutôt oui,"Il est important de faire un examen écrit qui nous force à nous plonger personnellement dans le contenu du cours et le travail des exercices. Néanmoins en rapport temps investi/proportion de la note, le barême examen/projet numérique n'est pas du tout approprié pour moi car j'ai passé beaucoup de temps sur le projet numérique (trop…), notamment à cause de la prise en main de Jupyter avec le LaTex aussi (mais je suis très contente d'avoir eu l'occasion de le découvrir en autonomie dans le but de rendre un projet, avec une vraie motivation donc). J'aurais privilégié un barême : 2/3 examen et 1/3 projet.
Par contre j'ai eu du mal à faire intervenir les mathématiques dans le projet numérique.",Plutôt oui,"Calcul diff : j'ai été très déstabilisée du fait que calcul différentiel et topologie soient complètement mêlés et je ne m'étais pas du tout assez entrainée à comprendre ce type d'exercice ce qui fait que je n'ai pas compris le sujet de l'examen (même pour le calcul du gradient par exemple alors que je m'étais bien entraînée…). 
Calcul intégral : alors que le cours faisait intervenir des notions tout à fait nouvelles pour moi j'ai l'impression que mon travail sur les exercices m'a été bien utile et m'a permis de traiter sereinement une partie du sujet.
Probabilités : j'ai été surprise de ne vraiment pas aller loin. Mauvaise gestion du temps (à cause de la partie calcul diff qui m'a déstabilisée) et manque d'entraînement sûrement.",Plutôt oui,,,,Plutôt non,Tout à fait,,,,,Tout à fait,,,,,,,,,,,"Oui, tout à fait",,"Oui, tout à fait",,Non,Non,,Jamais,Jamais,Jamais,,environ 12 h,,30 h ou plus,,12 h ou plus,,15 h ou plus,,"Le temps prévu pour l'enseignement ne me paraît pas réaliste. Il me faut beaucoup plus de temps que ce qui est ici compté pour faire des fiches, revoir mon cours plusieurs fois, m'entraîner sur les exercices. Ce travail, notamment par rapport aux exercices, aurait été plus efficace de mon côté si j'avais pu mieux suivre en TD et donc en bénéficier d'avantage et être plus à même à ce moment là de poser des questions (c'est-à-dire si j'avais pu m'entraîner sur des exercices d'application directe du cours entre le cours et le TD).",Peu satisfaisant,"Je n'ai pas l'impression d'avoir saisi l'ensemble du cours sachant que je ne suis pas encore autonome sur les exercices portant sur ces cours (cf examen qui m'a paru difficile). J'avais pourtant compris toutes les notions du cours et avais passé du temps à réviser. 
En bref,  il m'aurait fallu beaucoup plus d'exercices (difficultés variées, pas nécessairement que des ultra simples) avec explicitation de la difficulté de chaque exercice (que l'on puisse les évaluer les uns par rapport aux autres, reprendre vraiment ceux qui sont essentiels) et avec des exercices progressifs de prise en main au début. L'absence d'annales me semble aussi à prendre en compte : j'ai l'impression d'avoir eu peu de ressources pour m'entraîner, or enchaîner les exercices est vraiment ma méthode de travail."
2019/11/11 5:07:32 PM GMT+1,75,PC/PC* : classe préparatoire Physique-Chimie,,Plutôt difficile,Plutôt difficile,Plutôt difficile,Trop difficile,,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt non,,Plutôt oui,,Régulièrement,Pas vraiment utile...,Plutôt oui,Plutôt oui,Plutôt oui,"Non, pas du tout",,Plutôt non,Plutôt non,Plutôt non,Pas du tout,,"Oui, tout à fait",,Jamais,Parfois,Parfois,Jamais,Parfois,,,Plutôt oui,,Plutôt oui,,Tout à fait,"Oui, tout à fait",,"Oui, tout à fait",,"Oui, tout à fait",,Plutôt oui,,Plutôt oui,,Plutôt oui,Plutôt oui,Tout à fait,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,Plutôt oui,Pas du tout,,Plutôt oui,,Plutôt oui,,Non,Oui,,Tout le temps,Tout le temps,Parfois,,24 h ou plus,,environ 24 h,,environ 6h,,environ 9 h,,,Peu satisfaisant,
